Provincia,Departamento,"Dominio más
frecuente en CC"
Salta,San Carlos,gmail
San Juan,Capital,gmail
San Juan,Chimbas,gmail
San Juan,Rivadavia,gmail
San Luis,Coronel Pringles,yahoo
San Luis,General Pedernera,gmail
San Luis,Juan Martín de Pueyrredón,gmail
San Luis,Junín,gmail
Santa Cruz,Deseado,gmail
Santa Cruz,Güer Aike,hotmail
Santa Cruz,Lago Argentino,gmail
Santa Fe,Caseros,chabas
Santa Fe,Castellanos,gmail
Santa Fe,Constitución,gmail
Santa Fe,General López,hotmail
Santa Fe,General López,venadotuerto
Santa Fe,General López,gmail
Santa Fe,General Obligado,gmail
Santa Fe,La Capital,gmail
Santa Fe,Las Colonias,hotmail
Santa Fe,Las Colonias,gmail
Santa Fe,Rosario,gmail
Santa Fe,San Cristóbal,hotmail
Santa Fe,San Justo,gmail
Santa Fe,San Lorenzo,gmail
Santa Fe,San Martín,gmail
Santa Fe,Vera,gmail
Santiago del Estero,Banda,gmail
Santiago del Estero,Banda,hotmail
Santiago del Estero,Capital,gmail
Tierra del Fuego,Río Grande,riogrande
Tierra del Fuego,Río Grande,gmail
Tierra del Fuego,Río Grande,hotmail
Tierra del Fuego,Ushuaia,gmail
Tucumán,Capital,gmail
Tucumán,Cruz Alta,gmail
Tucumán,Lules,gmail
Tucumán,Yerba Buena,gmail
